expo,table,project,sponsors,link,cortex,et
1,1,openCAM,,http://mhacks8.devpost.com/submissions/58788-opencam,Hardware,11
1,2,WiFi beacon,,http://mhacks8.devpost.com/submissions/58790-wifi-beacon,Hardware,12
1,4,Maps Up,"General Motors - Most badass in-vehicle idea, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, General Electric - Best IoT hack -- use of sensors",http://mhacks8.devpost.com/submissions/58890-maps-up,Hardware,14
1,5,Alexa-Meditate,"Amazon Web Services - Best Use of AWS, Amazon - Best Voice User Experience Using Amazon Alexa, Facebook - Most Open and Connected App, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58904-alexa-meditate,Hardware,15
1,6,"Wall-E, your path guide","Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App, General Electric - Best IoT hack -- use of sensors, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58971-wall-e-your-path-guide,Hardware,16
1,7,Road Trip,"Amazon Web Services - Best Use of AWS, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Amazon - Best Voice User Experience Using Amazon Alexa, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59000-road-trip,Hardware,17
1,8,LightSwipe,"Watch Dog 2 Best Device Privacy Hack, General Electric - Best IoT hack -- use of sensors",http://mhacks8.devpost.com/submissions/59052-lightswipe,Hardware,18
1,9,Pretty Fly For WiFi,"Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, General Electric - Best IoT hack -- use of sensors",http://mhacks8.devpost.com/submissions/59054-pretty-fly-for-wifi,Hardware,19
1,10,THESAFETY HELMET(tm) FOR CHILDREN,"Best Domain Name from Domain.com, Amazon - Best Voice User Experience Using Amazon Alexa, Facebook - Most Open and Connected App, General Electric - Best IoT hack -- use of sensors, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/59100-thesafety-helmet-tm-for-children,Hardware,110
1,11,Rebugger,Microsoft - Best use of Microsoft Technology,http://mhacks8.devpost.com/submissions/59101-rebugger,Hardware,111
1,12,Carlexa,"Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, Amazon - Best Voice User Experience Using Amazon Alexa,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59120-carlexa,Hardware,112
1,13,Anomia,"Linode - Best Use of Linode Services, Best Domain Name from Domain.com, Facebook - Most Open and Connected App, Amazon - Best Voice User Experience Using Amazon Alexa",http://mhacks8.devpost.com/submissions/59125-anomia,Hardware,113
1,14,iiCAN Tracker,,http://mhacks8.devpost.com/submissions/59143-iican-tracker,Hardware,114
1,15,Ice cream maker 9000,"General Electric - Best IoT hack -- use of sensors, Linode - Best Use of Linode Services, Facebook - Most Open and Connected App, Amazon Web Services - Best Use of AWS, Amazon - Best Voice User Experience Using Amazon Alexa, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59147-ice-cream-maker-9000,Hardware,115
1,16,Pi Boy,,http://mhacks8.devpost.com/submissions/59167-pi-boy,Hardware,116
1,17,Hotbox,"General Electric - Best IoT hack -- use of sensors, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59194-hotbox,Hardware,117
1,18,Smart Car Automation with Alexa and particle photon,"General Electric - Best IoT hack -- use of sensors, Amazon - Best Voice User Experience Using Amazon Alexa",http://mhacks8.devpost.com/submissions/59209-smart-car-automation-with-alexa-and-particle-photon,Hardware,118
1,19,GEST,General Electric - Best IoT hack -- use of sensors,http://mhacks8.devpost.com/submissions/59246-gest,Hardware,119
1,20,AlarmClock,,http://mhacks8.devpost.com/submissions/59250-alarmclock,Hardware,120
1,21,Jot,"Facebook - Most Open and Connected App, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58930-jot,Machine Learning + AI,121
1,22,The Pictorial Angularizer mk. 3000,,http://mhacks8.devpost.com/submissions/58975-the-pictorial-angularizer-mk-3000,Machine Learning + AI,122
1,23,Simulated Reality,General Electric - Best IoT hack -- use of sensors,http://mhacks8.devpost.com/submissions/58986-simulated-reality,Machine Learning + AI,123
1,24,Netflix X-ray,Microsoft - Best use of Microsoft Technology,http://mhacks8.devpost.com/submissions/59013-netflix-x-ray,Machine Learning + AI,124
1,25,Snorkel,Microsoft - Best use of Microsoft Technology,http://mhacks8.devpost.com/submissions/59087-snorkel,Machine Learning + AI,125
1,26,heart,"Amazon Web Services - Best Use of AWS, Facebook - Most Open and Connected App, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/59092-heart,Machine Learning + AI,126
